Date,Date_reported,Country,Susceptibility,New_cases,Total_Infected,New_deaths,Total_Deaths,Recovered
1,2020-01-04,Sri Lanka,23229470,0,0,0,0,0
2,2020-01-05,Sri Lanka,23229470,0,0,0,0,0
3,2020-01-06,Sri Lanka,23229470,0,0,0,0,0
4,2020-01-07,Sri Lanka,23229470,0,0,0,0,0
5,2020-01-08,Sri Lanka,23229470,0,0,0,0,0
6,2020-01-09,Sri Lanka,23229470,0,0,0,0,0
7,2020-01-10,Sri Lanka,23229470,0,0,0,0,0
8,2020-01-11,Sri Lanka,23229470,0,0,0,0,0
9,2020-01-12,Sri Lanka,23229470,0,0,0,0,0
10,2020-01-13,Sri Lanka,23229470,0,0,0,0,0
11,2020-01-14,Sri Lanka,23229470,0,0,0,0,0
12,2020-01-15,Sri Lanka,23229470,0,0,0,0,0
13,2020-01-16,Sri Lanka,23229470,0,0,0,0,0
14,2020-01-17,Sri Lanka,23229470,0,0,0,0,0
15,2020-01-18,Sri Lanka,23229470,0,0,0,0,0
16,2020-01-19,Sri Lanka,23229470,0,0,0,0,0
17,2020-01-20,Sri Lanka,23229470,0,0,0,0,0
18,2020-01-21,Sri Lanka,23229470,0,0,0,0,0
19,2020-01-22,Sri Lanka,23229470,0,0,0,0,0
20,2020-01-23,Sri Lanka,23229470,0,0,0,0,0
21,2020-01-24,Sri Lanka,23229470,0,0,0,0,0
22,2020-01-25,Sri Lanka,23229470,0,0,0,0,0
23,2020-01-26,Sri Lanka,23229470,0,0,0,0,0
24,2020-01-27,Sri Lanka,23229465,5,5,0,0,0
25,2020-01-28,Sri Lanka,23229469,-4,1,0,0,0
26,2020-01-29,Sri Lanka,23229465,4,5,0,0,0
27,2020-01-30,Sri Lanka,23229465,0,5,0,0,0
28,2020-01-31,Sri Lanka,23229465,0,5,0,0,0
29,2020-02-01,Sri Lanka,23229465,0,5,0,0,0
30,2020-02-02,Sri Lanka,23229465,0,5,0,0,0
31,2020-02-03,Sri Lanka,23229465,0,5,0,0,0
32,2020-02-04,Sri Lanka,23229465,0,5,0,0,0
33,2020-02-05,Sri Lanka,23229465,0,5,0,0,0
34,2020-02-06,Sri Lanka,23229465,0,5,0,0,0
35,2020-02-07,Sri Lanka,23229465,0,5,0,0,0
36,2020-02-08,Sri Lanka,23229465,0,5,0,0,0
37,2020-02-09,Sri Lanka,23229465,0,5,0,0,0
38,2020-02-10,Sri Lanka,23229465,0,5,0,0,0
39,2020-02-11,Sri Lanka,23229465,0,5,0,0,0
40,2020-02-12,Sri Lanka,23229465,0,5,0,0,0
41,2020-02-13,Sri Lanka,23229465,0,5,0,0,0
42,2020-02-14,Sri Lanka,23229465,0,5,0,0,0
43,2020-02-15,Sri Lanka,23229465,0,5,0,0,0
44,2020-02-16,Sri Lanka,23229465,0,5,0,0,0
45,2020-02-17,Sri Lanka,23229465,0,5,0,0,0
46,2020-02-18,Sri Lanka,23229465,0,5,0,0,0
47,2020-02-19,Sri Lanka,23229465,0,5,0,0,0
48,2020-02-20,Sri Lanka,23229465,0,5,0,0,0
49,2020-02-21,Sri Lanka,23229465,0,5,0,0,0
50,2020-02-22,Sri Lanka,23229465,0,5,0,0,0
51,2020-02-23,Sri Lanka,23229465,0,5,0,0,0
52,2020-02-24,Sri Lanka,23229465,0,5,0,0,0
53,2020-02-25,Sri Lanka,23229465,0,5,0,0,0
54,2020-02-26,Sri Lanka,23229465,0,5,0,0,0
55,2020-02-27,Sri Lanka,23229465,0,5,0,0,0
56,2020-02-28,Sri Lanka,23229465,0,5,0,0,0
57,2020-02-29,Sri Lanka,23229465,0,5,0,0,0
58,2020-03-01,Sri Lanka,23229465,0,5,0,0,0
59,2020-03-02,Sri Lanka,23229465,0,5,0,0,0
60,2020-03-03,Sri Lanka,23229465,0,5,0,0,0
61,2020-03-04,Sri Lanka,23229465,0,5,0,0,0
62,2020-03-05,Sri Lanka,23229465,0,5,0,0,0
63,2020-03-06,Sri Lanka,23229465,0,5,0,0,0
64,2020-03-07,Sri Lanka,23229465,0,5,0,0,0
65,2020-03-08,Sri Lanka,23229465,0,5,0,0,0
66,2020-03-09,Sri Lanka,23229465,0,5,0,0,0
67,2020-03-10,Sri Lanka,23229465,0,5,0,0,0
68,2020-03-11,Sri Lanka,23229468,-3,2,0,0,0
69,2020-03-12,Sri Lanka,23229467,1,3,0,0,0
70,2020-03-13,Sri Lanka,23229463,4,7,0,0,0
71,2020-03-14,Sri Lanka,23229464,-1,6,0,0,0
72,2020-03-15,Sri Lanka,23229459,5,11,0,0,0
73,2020-03-16,Sri Lanka,23229451,8,19,0,0,0
74,2020-03-17,Sri Lanka,23229441,10,29,0,0,0
75,2020-03-18,Sri Lanka,23229428,13,42,0,0,0
76,2020-03-19,Sri Lanka,23229417,11,53,0,0,0
77,2020-03-20,Sri Lanka,23229404,13,66,0,0,0
78,2020-03-21,Sri Lanka,23229398,6,72,0,0,0
79,2020-03-22,Sri Lanka,23229388,10,82,0,0,0
80,2020-03-23,Sri Lanka,23229376,12,94,0,0,0
81,2020-03-24,Sri Lanka,23229373,3,97,0,0,0
82,2020-03-25,Sri Lanka,23229368,5,102,0,0,0
83,2020-03-26,Sri Lanka,23229368,0,102,0,0,0
84,2020-03-27,Sri Lanka,23229364,4,106,0,0,0
85,2020-03-28,Sri Lanka,23229364,0,106,0,0,0
86,2020-03-29,Sri Lanka,23229355,9,115,1,1,10
87,2020-03-30,Sri Lanka,23229350,5,120,0,1,15
88,2020-03-31,Sri Lanka,23229348,2,122,1,2,16
89,2020-04-01,Sri Lanka,23229327,21,143,0,2,18
90,2020-04-02,Sri Lanka,23229322,5,148,1,3,21
91,2020-04-03,Sri Lanka,23229319,3,151,1,4,22
92,2020-04-04,Sri Lanka,23229311,8,159,1,5,25
93,2020-04-05,Sri Lanka,23229304,7,166,0,5,29
94,2020-04-06,Sri Lanka,23229294,10,176,0,5,34
95,2020-04-07,Sri Lanka,23229290,4,180,1,6,42
96,2020-04-08,Sri Lanka,23229284,6,186,-6,0,42
97,2020-04-09,Sri Lanka,23229281,3,189,7,7,47
98,2020-04-10,Sri Lanka,23229280,1,190,0,7,50
99,2020-04-11,Sri Lanka,23229273,7,197,0,7,54
100,2020-04-12,Sri Lanka,23229271,2,199,0,7,55
101,2020-04-13,Sri Lanka,23229260,11,210,0,7,56
102,2020-04-14,Sri Lanka,23229252,8,218,0,7,59
103,2020-04-15,Sri Lanka,23229237,15,233,0,7,63
104,2020-04-16,Sri Lanka,23229232,5,238,0,7,65
105,2020-04-17,Sri Lanka,23229232,0,238,0,7,70
106,2020-04-18,Sri Lanka,23229226,6,244,0,7,77
107,2020-04-19,Sri Lanka,23229216,10,254,0,7,91
108,2020-04-20,Sri Lanka,23229199,17,271,0,7,97
109,2020-04-21,Sri Lanka,23229166,33,304,0,7,100
110,2020-04-22,Sri Lanka,23229160,6,310,0,7,104
111,2020-04-23,Sri Lanka,23229140,20,330,0,7,105
112,2020-04-24,Sri Lanka,23229102,38,368,0,7,107
113,2020-04-25,Sri Lanka,23229050,52,420,0,7,116
114,2020-04-26,Sri Lanka,23229010,40,460,0,7,120
115,2020-04-27,Sri Lanka,23228947,63,523,0,7,126
116,2020-04-28,Sri Lanka,23228882,65,588,0,7,134
117,2020-04-29,Sri Lanka,23228851,31,619,0,7,134
